region,town_township,quarter_village_tract,postal_code
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ေဇယ်သိဒၶိ ရပ္ကြက္",1501001
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ပညာသိဒၶိ ရပ္ကြက္",1501002
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","မဂၤလာသိဒၶိ ရပ္ကြက္",1501003
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ေဘာဂသိဒၶိ ရပ္ကြက္",1501004
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","သေျပကုန္း ရပ္ကြက္",1501005
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ဝဏၰသိဒၶိ ရပ္ကြက္",1501006
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","သုခသိဒၶိ ရပ္ကြက္",1501007
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ဉာဏသိဒၶိ ရပ္ကြက္",1501008
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ဗလသိဒၶိ ရပ္ကြက္",1501009
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ဓနသိဒၶိ ရပ္ကြက္",1501010
"ေနျပည္ေတာ္ (ျပည္ေထာင္စုနယ္ေျမ)","ဇမၺဴသီရိ ၿမိဳ႕နယ္","ေရႊၾကာပင္ ရပ္ကြက္",1501011
